INDEX,ADDRESS,ADMINISTRATOR,CITY,FACILITY_TYPE,NAME,PHONE,ST,ZIP,lat,long
0,"3605 Northgate Ct, Suite 209",N/A,New Albany,CMS Provider/Clinician,Baptist Health Medical Group Inc,(812)542-4921,IN,47150,38.331711300504,-85.816429573841
1,"1373 E State Rd, 62 Louisville Cardiology G",N/A,Madison,CMS Provider/Clinician,Baptist Health Medical Group Inc,(812)801-0810,IN,47250,38.789243408084,-85.365104247816
2,2125 State St,N/A,New Albany,CMS Provider/Clinician,New Horizons Physical Therapy Limited Partnership,(nan)-,IN,47150,38.303505064329,-85.838271154415
3,"2125 State St, Suite 2",N/A,New Albany,CMS Provider/Clinician,New Horizons Physical Therapy Limited Partnership,(nan)-,IN,47150,38.303505064329,-85.838271154415
4,"649 Meyers Baker Rd, Suite 102",N/A,London,CMS Provider/Clinician,"H2 Rehabilitation Services Of Kentucky, Llc",(606)864-7316,KY,40741,37.115393152697,-84.089253388535
5,305 Estill St,N/A,Berea,CMS Provider/Clinician,Kentuckyone Health Medical Group Inc,(859)986-8418,KY,40403,37.573622105862,-84.287363220739
9,85 N Grand Ave,N/A,Fort Thomas,CMS Provider/Clinician,Compass Emergency Physicians Psc,(859)572-3617,KY,41075,39.078598228078,-84.465222238615
10,600 Wilson Creek Rd,N/A,Lawrenceburg,CMS Provider/Clinician,Compass Emergency Physicians Psc,(859)572-3617,IN,47025,39.110606826066,-84.884647925887
11,"2514 E Dupont Rd, Suite 100",N/A,Fort Wayne,CMS Provider/Clinician,American Oncology Partners Pa,(260)484-8830,IN,46825,41.178611049204,-85.109574110055
13,20 Alpine Dr,N/A,Batesville,CMS Provider/Clinician,Accudoc Inc Pc,(812)932-9150,IN,47006,39.30957402336,-85.216607719439
14,"1050 Reid Pkwy, Suite 300",N/A,Richmond,CMS Provider/Clinician,Reid Physician Associates Inc,(765)935-8941,IN,47374,39.862916523538,-84.887366368016
16,4099 Gateway Blvd,N/A,Newburgh,CMS Provider/Clinician,"Deaconess Specialty Physicians, Inc",(812)858-3051,IN,47630,37.975460503169,-87.448597923288
17,"3550 Park Pl W, Suite 200",N/A,Mishawaka,CMS Provider/Clinician,Great Lakes Eye Care Pc,(574)222-1403,IN,46545,41.693697333663,-86.176123382495
20,"123 N 19Th St, A103",N/A,Middlesboro,CMS Provider/Clinician,"Vista Radiology, Pc",(606)248-3171,KY,40965,36.609440139684,-83.713002413711
22,"6820 Parkdale Pl, Suite 100",N/A,Indianapolis,CMS Provider/Clinician,"University Family Physicians, Inc.",(317)297-7773,IN,46254,39.826075371823,-86.280233754651
24,2400 Greatstone Pt,N/A,Lexington,CMS Provider/Clinician,"Kentucky Medical Services Foundation, Inc",(859)323-7426,KY,40504,38.018942707658,-84.548829807565
25,"11123 Parkview Plaza Dr, Suite 204",N/A,Fort Wayne,CMS Provider/Clinician,Parkview Health System Inc,(260)266-6610,IN,46845,41.188203344366,-85.099428517902
26,"9250 Columbia Ave, Suite 2E",N/A,Munster,CMS Provider/Clinician,Nwi Clarity Clinic,(219)595-0043,IN,46321,41.545944359291,-87.506227336572
27,8555 Taft St,N/A,Merrillville,CMS Provider/Clinician,Southlake Community Mental Health Center Inc,(219)769-4005,IN,46410,41.46288561459,-87.364888912226
28,720 Eskenazi Ave,N/A,Indianapolis,CMS Provider/Clinician,The Health And Hospital Corporation Of Marion County,(317)880-0000,IN,46202,39.777086229364,-86.182935059249
29,720 N Marr Rd,N/A,Columbus,CMS Provider/Clinician,Centerstone Of Indiana Inc,(812)314-3400,IN,47201,39.206136203683,-85.885294840391
30,1443 Corporate Way,N/A,Seymour,CMS Provider/Clinician,Centerstone Of Indiana Inc,(812)522-4341,IN,47274,38.948286971268,-85.909236906423
32,4011 S Monroe Medical Park Blvd,N/A,Bloomington,CMS Provider/Clinician,Monroe Medical Group Inc,(812)825-1111,IN,47403,39.121348031663,-86.57324587948
33,6486 W Deerfield Ct,N/A,Zionsville,CMS Provider/Clinician,Elite Imaging Llc,(754)206-6226,IN,46077,39.959061547981,-86.324591169696
34,1000 E Main St,N/A,Danville,CMS Provider/Clinician,Hendricks County Radiology Inc,(317)745-4451,IN,46122,39.759678066531,-86.511238268661
35,"1542 S Bloomington St, Putnam County Rad",N/A,Greencastle,CMS Provider/Clinician,Hendricks County Radiology Inc,(800)394-9338,IN,46135,39.621935734586,-86.845968915975
38,"610 N Michigan St, 400 Bmg Adv Cardiology Spe",N/A,South Bend,CMS Provider/Clinician,Beacon Medical Group Inc,(574)647-8120,IN,46601,41.683311727349,-86.25041110423
39,"7725 Broadway, Suite A",N/A,Merrillville,CMS Provider/Clinician,Mid-America Psychological And Counseling Service Pc,(219)736-1000,IN,46410,41.478028122429,-87.335877399935
40,320 W 18Th St,N/A,Hopkinsville,CMS Provider/Clinician,Jennie Stuart Medical Center Inc,(270)887-0100,KY,42240,36.860366470476,-87.495394271262
42,"8401 Harcourt Rd, Suite 302",N/A,Indianapolis,CMS Provider/Clinician,"St. Vincent Hospital And Health Care Center, Inc.",(317)338-4600,IN,46260,39.908599669026,-86.193826977156
43,"825 2Nd Ave, Suite B2",N/A,Bowling Green,CMS Provider/Clinician,"Commonwealth Health Corporation, Inc.",(270)796-3535,KY,42101,36.995515457457,-86.428113595293
44,200 E Chestnut St,N/A,Louisville,CMS Provider/Clinician,Professional Anesthesia Services Of Kentucky Pllc,(502)629-8000,KY,40202,38.248211772883,-85.751762091104
45,4960 Norton Healthcare Blvd,N/A,Louisville,CMS Provider/Clinician,Professional Anesthesia Services Of Kentucky Pllc,(502)446-8000,KY,40241,38.31491787703,-85.573216821243
46,"2350 Regency Rd, Suite A",N/A,Lexington,CMS Provider/Clinician,United Surgical Associates Psc,(859)278-4960,KY,40503,38.006131218336,-84.524617918998
47,"200 Cardinal Dr, Suite 312",N/A,Elizabethtown,CMS Provider/Clinician,Baptist Health Medical Group Inc,(270)706-5171,KY,42701,37.709402114987,-85.877892041681
48,460 E Brannon Rd,N/A,Nicholasville,CMS Provider/Clinician,Osptky Llc,(859)887-0599,KY,40356,37.954491197137,-84.528220371294
