INDEX,ADDRESS,ADMINISTRATOR,CITY,FACILITY_TYPE,NAME,PHONE,ST,ZIP,OWNER,lat,long
0,1915 Wesley Rd,Thaddeus Weghorst,Auburn,Birthing Center,Auburn Birthing Center Llc,(260)927-0035,IN,46706,,41.3716287,-85.0300434
1,2521 E Market St,Jamie Yoder,Nappanee,Birthing Center,"Blessed Beginnings Care Center, Inc",(574)773-7755,IN,46550,,39.76880625,-86.15345077251979
2,9835 Auburn Road,Marianne Stroud,Fort Wayne,Birthing Center,Holy Family Birth Center,(260)222-7406,IN,46825,,41.1735874,-85.1149501
3,"6620 Parkdale Place, Suite K",Angela Lyttle,Indianapolis,Birthing Center,Indiana Birth Center West Llc,(317)437-3681,IN,46254,,39.8264165,-86.27687938675676
4,7980 W 100 S,Jamie Yoder,Topeka,Birthing Center,New Eden Care Center Inc,(260)768-4401,IN,46571,,51.5105048,-0.1206359
5,7950 N Shadeland Ave Suite 400,,Indianapolis,Birthing Center,Sacred Roots Birth Center Northeast,(317)437-3681,IN,46250,,39.898906713367,-86.046165252965
6,1214 Spring St,Elizabeth Quinkert,Jeffersonville,Birthing Center,Tree Of Life Birth Center,(812)920-1580,IN,47130,,38.328749,-85.69956074724215
7,29 South Stockwell Rd,,Evansville,Blood Center,American National Red Cross Evansville,(812)471-7207,IN,47714,,12.9413694,77.6088716
8,2715 Emerson Drive,,Elkhart,Blood Center,Biolife Plasma Services,(574)264-7204,IN,46514,,41.72492896909796,-85.98108036874203
9,8050 Rockville Road,,Indianapolis,Blood Center,Biolife Plasma Services,(317)378-8294,IN,46214,,39.7642467,-86.303462
10,7921 Coldwater Road,,Fort Wayne,Blood Center,Biolife Plasma Services Lp,(260)489-8215,IN,46825,,41.1520663,-85.1372423
11,1565 South Liberty Dr,,Bloomington,Blood Center,Biolife Plasma Services Lp,(812)334-1405,IN,47403,,39.153038,-86.5741927
12,111 East Alto Road,,Kokomo,Blood Center,Biolife Plasma Services Lp,(765)453-5670,IN,46902,,40.46931505,-86.1301357
13,1450 Getz Road,,Fort Wayne,Blood Center,Biolife Plasma Services Lp,(260)434-1922,IN,46804,,41.0720483,-85.2195612
14,3401 North Marleon Drive,,Muncie,Blood Center,Biolife Plasma Services Lp,(765)288-2699,IN,47304,,40.2218161,-85.46521212388326
15,1138 North Emerson Ave,,Greenwood,Blood Center,Biolife Plasma Services Lp,(317)883-3839,IN,46143,,41.0884295,-85.1258071
16,1132 Locust Street,,Terre Haute,Blood Center,"Biomat Usa, Inc",(812)645-0016,IN,47807,,39.4776149,-87.4004327
17,"5341 E Thompson Rd,",,Indianapolis,Blood Center,"Biomat Usa, Inc",(317)974-9494,IN,46237,,39.689779650000006,-86.05585634487525
18,3533 S Scatterfield Rd,,Anderson,Blood Center,"Biomat Usa, Inc",(765)649-3900,IN,46013,,40.0550305,-85.652953
19,3620 North Post Road,,Indianapolis,Blood Center,"Biomat Usa, Inc",(317)890-8997,IN,46226,,39.8226839,-86.01060227530076
20,7320 Broadway Avenue,,Merrillville,Blood Center,"Biomat Usa, Inc",(219)769-7705,IN,46410,,41.485214676972,-87.336087676994
21,110 W Ridge Rd,,Griffith,Blood Center,"Biomat Usa, Inc",(219)513-4222,IN,46319,,39.450405,-86.5730759
22,1901 Western Ave,,South Bend,Blood Center,Bm South Bend In - Western,(574)234-6010,IN,46619,,47.609776,-122.3432257
23,4150 Grape Rd Suite B,,Mishawaka,Blood Center,Csl Plasma,(574)314-9277,IN,46545,,13.0298601,77.63041634999999
24,5550 E Washington Street,,Indianapolis,Blood Center,Csl Plasma Inc,(317)352-9157,IN,46219,,39.75977475,-86.07155863753542
25,400 Brown Street,,West Lafayette,Blood Center,Csl Plasma Inc,(765)743-9665,IN,47906,,40.5105534,-86.8425023
26,2750 E 46Th Street,,Indianapolis,Blood Center,Csl Plasma Inc,(317)622-5058,IN,46205,,39.806649699999994,-86.1371915
27,59 Southland Shopping Center,,Terre Haute,Blood Center,"Csl Plasma, Inc",(812)233-3944,IN,47802,,39.43324483060578,-87.40793142869668
