INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,ADMINISTRATOR,PHONE,OWNER
0,Birthing Center,Tree Of Life Birth Center,1214 Spring St,Jeffersonville,IN,47130,Elizabeth Quinkert,(812)920-1580,
1,Blood Center,Biolife Plasma Services Lp,1565 South Liberty Dr,Bloomington,IN,47403,,(812)334-1405,
2,Blood Center,"Biomat Usa, Inc","5341 E Thompson Rd,",Indianapolis,IN,46237,,(317)974-9494,
3,Blood Center,"Biomat Usa, Inc",110 W Ridge Rd,Griffith,IN,46319,,(219)513-4222,
4,Blood Center,"Csl Plasma, Inc","5905 Madison Ave, Suite E",Indianapolis,IN,46227,,(317)808-5998,
5,Blood Center,"Csl Plasma, Inc",4025 W 3Rd St,Bloomington,IN,47404,,(812)558-2257,
6,Blood Center,"Csl Plasma, Inc",7750 E Ridge Rd,Hobart,IN,46342,,(219)484-2099,
7,Blood Center,Grifols Bio Supplies Inc,3902 S Madison Avenue,Indianapolis,IN,46227,,(317)786-4470,
8,Blood Center,Join Parachute- Columbus,699 Creekview Dr,Columbus,IN,47201,,(812)416-5891,
9,Home Health Agency,Care4U Home Health Services Inc,6213 Royal Gate Pl,Indianapolis,IN,46237,Pardeep Gill,(317)567-3448,
10,Home Health Agency,Family Palliative Care,213 Us 231,Jasper,IN,47546,Lori Persohn,(812)996-0674,
11,Home Health Agency,Lifespan Home Health Llc,800 N Bell Trace Cir,Bloomington,IN,47408,Jennifer Norris,(812)332-2355,
12,Home Health Agency,Pentec Health Inc,48 North Emerson Avenue Suite 300,Greenwood,IN,46143,Keri Johnson,(317)807-1551,
13,Hospice,Ascent Hospice Llc,1930 Edison Road,South Bend,IN,46617,,(574)213-2727,
14,Hospital,Ascension St Vincent Jennings,301 Henry St,North Vernon,IN,47265,Christina Crank,(812)352-4228,
15,Hospital,Ascension St Vincent Salem,911 N Shelby St,Salem,IN,47167,Donna Cassidy,(812)883-5881,
16,Hospital,Ascension St Vincent Warrick,1116 Millis Ave,Boonville,IN,47601,Alexander Chang,(812)897-4800,
17,Hospital,Baptist Health Floyd,1850 State St,New Albany,IN,47150,Michael Schroyer,(812)944-7701,
18,Hospital,Bloomington Meadows Hospital,3600 N Prow Rd,Bloomington,IN,47404,Christine Schultz,(812)331-8000,
19,Hospital,Bloomington Regional Rehabilitation Hospital Llc,3050 N Lintel Drive,Bloomington,IN,47404,Andrew Keen,(812)336-2815,
20,Hospital,Brentwood Springs,4488 Roslin Rd,Newburgh,IN,47630,John Strachan,(812)858-7200,
21,Hospital,Brightwell Behavioral Health,1612 Blackiston View Drive,Clarksville,IN,47129,Rosa Mcgowen,(574)339-3094,
22,Hospital,Columbus Regional Hospital,2400 E 17Th St,Columbus,IN,47201,Jacob Baker,(812)379-4441,
23,Hospital,Community Health Network Rehabilitation Hosp So,607 South Greenwood Springs Drive,Greenwood,IN,46143,Michelle Russell,(317)215-3808,
24,Hospital,Community Hospital South,1402 E County Line Rd S,Indianapolis,IN,46227,Elizabeth Tharp,(317)887-7000,
25,Hospital,Daviess Community Hospital,1314 E Walnut St,Washington,IN,47501,Dana Muntz,(812)254-2760,
26,Hospital,Decatur County Memorial Hospital,720 N Lincoln St,Greensburg,IN,47240,Rex Mckinney,(812)663-4331,
27,Hospital,Encompass Health Deaconess Rehabilitation Hospital,9355 Warrick Trail,Newburgh,IN,47630,Blake Bunner,(812)476-9983,
