INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
0,Alcohol And Drug Prevention,Adanta Regional Prevention Center,130 Southern School Road,Somerset,KY,42501,(606) 679-4782,Tracie Horton,"Lake Cumberland Regiona Mmr Board, Inc",840005,02/28/2026,N/A,-84.61961531709855,-84.61961531709855
1,Alcohol And Drug Prevention,Bingham Behavioral Health Care,"417 Knox Street, Suite 3",Barbourville,KY,40906,(606) 545-9752,Vivian Bingham,"Bingham Behavioral Health Care, Pllc",840024,Pending Renewal,N/A,-83.88401269,36.86815253
2,Alcohol And Drug Prevention,Choice Inc,"3715 Bardstown Road, Suite 303",Louisville,KY,40218,(502) 456-5137,Liz Sias-Shannon,"C. H. O. I. C. E., Inc.",840001,12/31/2025,N/A,-85.6577126,38.19787697
3,Alcohol And Drug Prevention,"Communicare, Inc","1311 North Dixie Avenue, Building A",Elizabethtown,KY,42701,(270) 765-5992,Lisa Wise,"Communicare, Inc.",840000,Pending Renewal,N/A,-85.87572005374162,-85.87572005374162
4,Alcohol And Drug Prevention,"Comprehend, Inc",611 Forest Avenue,Maysville,KY,41056,(606) 564-4016,Melissa Greenwell,"Comprehend, Inc., Region Viii Mh/Mr Board, Inc.",840004,01/31/2026,N/A,-83.75184249,38.64234702
5,Alcohol And Drug Prevention,"Council On Prevention & Ed Substances, Inc",4213 Churchill Road,Louisville,KY,40207,(502) 583-6820,Ted Strader,"Council On Prevention & Education Substances, Inc.",840002,12/31/2025,N/A,-85.64277385,38.2476152
6,Alcohol And Drug Prevention,Cumberland River Regional Prevention Center,223 South Cherry Street,Pineville,KY,40977,(606) 337-2070,Deborah Hampton,"Cumberland River Behavioral Health, Inc.",840012,04/30/2026,N/A,-83.69398235,36.7612106
7,Alcohol And Drug Prevention,Four Rivers Behavioral Health Regional Prevention,"425 Broadway Street, Suite 201",Paducah,KY,42001,(270) 442-7121,Gretchen Roof,"Western Ky Regional Mh/Mr Board, Inc.",840009,03/31/2026,N/A,-88.59843547,37.08662136
8,Alcohol And Drug Prevention,Kentucky River Regional Prevention Center,"3834 Hwy 15 South, Suite B",Jackson,KY,41339,(606) 666-7591,Jamie Smith,"Kentucky River Community Care, Inc.",840014,08/31/2026,N/A,,
9,Alcohol And Drug Prevention,Mountain Regional Prevention Center,190 South Front Street,Prestonsburg,KY,41653,(606) 889-0328,Mashawna Jacobs,"Mountain Comprehensive Care Center, Inc.",840011,10/31/2025,N/A,-82.7744767,37.66600173
