INDEX,ADDRESS,CITY,ST,ZIP,NOTES,lat,long
1,6001 Rising Fawn Ct,Georgetown,IN,47122,,38.298628,-85.9301
2,127 Indianola St,Sellersburg,IN,47172,Tools and todler stuff,38.4013,-85.76075
3,1002 Charlet Ridge Dr,Floyds Knobs,IN,47119,Huge 3 family yard sale,38.351,-85.89557
4,700 poplar St NE,New Salisbury,IN,47161,,38.3452,-86.11115
5,3808 Kayla Ct Ne,Corydon,IN,,Multi family yard sale ,38.2307,-86.05601876
6,1352 Slate Run Rd,New Albany,IN,,,38.31108,-85.79928717
7,3809 Dogwood Rd,,,47119,,38.3489,-85.8803994
8,705 Mure de Ronce Dr,New Albany,IN,,Multifamily,38.3598,-85.81480759
9,2217 Charlestown rd ,New Albany,IN,,Tools!,38.30636,-85.81100633
10,2117 Culbertson Ave,New Albany,IN,,Lots of books,38.299769,-85.80203554
11,6705 Sunny Drive, Lanesville,IN,,,38.24,-85.93421353
12,7300 Borden Rd,Greenville,IN,,,38.378849,-85.96383693
